Trial,ReferenceNum,Scale,Temperature,pH,Difference
4, 1, 20, 5, 4, -0.028
5, 1, 20, 5, 4, -0.03
6, 1, 20, 5, 4, -0.031
7, 1, 20, 5, 4, -0.035
8, 1, 20, 5, 4, -0.033
9, 1, 20, 5, 4, -0.03
10, 1, 20, 5, 4, -0.032
11, 1, 20, 5, 4, -0.027
12, 1, 20, 5, 4, -0.035
13, 1, 20, 5, 4, -0.035
14, 1, 20, 5, 4, -0.032
15, 1, 20, 5, 4, -0.034
16, 1, 20, 5, 4, -0.035
17, 1, 20, 5, 4, -0.035
18, 1, 20, 5, 4, -0.035
19, 1, 20, 5, 4, -0.034
20, 1, 20, 5, 4, -0.033
21, 1, 20, 5, 4, -0.031
22, 1, 20, 5, 4, -0.025
23, 1, 20, 5, 4, -0.025
24, 1, 20, 5, 4, -0.031
25, 1, 20, 5, 4, -0.031
26, 1, 20, 5, 4, -0.028
27, 1, 20, 5, 4, -0.035
28, 1, 20, 5, 4, -0.031
29, 1, 20, 5, 4, -0.028
30, 1, 20, 5, 4, -0.031
31, 1, 20, 5, 4, -0.029
32, 1, 20, 5, 4, -0.034
33, 1, 20, 5, 4, -0.035
34, 1, 20, 5, 4, -0.032
35, 1, 20, 5, 4, -0.027
36, 1, 20, 5, 4, -0.033
37, 1, 20, 5, 4, -0.026
38, 1, 20, 5, 4, -0.028
39, 1, 20, 5, 4, -0.025
40, 1, 20, 5, 4, -0.032
1, 1, 20, 5, 4, -0.34
2, 1, 20, 5, 4, -0.3
3, 1, 20, 5, 4, -0.31
4, 1, 20, 5, 4, -0.38
5, 1, 20, 5, 4, -0.34
6, 1, 20, 5, 4, -0.32
7, 1, 20, 5, 4, -0.34
8, 1, 20, 5, 4, -0.36
9, 1, 20, 5, 4, -0.39
10, 1, 20, 5, 4, -0.32
11, 1, 20, 5, 4, -0.34
12, 1, 20, 5, 4, -0.3
13, 1, 20, 5, 4, -0.39
14, 1, 20, 5, 4, -0.36
15, 1, 20, 5, 4, -0.38
16, 1, 20, 5, 4, -0.38
17, 1, 20, 5, 4, -0.34
18, 1, 20, 5, 4, -0.4
19, 1, 20, 5, 4, -0.39
20, 1, 20, 5, 4, -0.38
21, 1, 20, 5, 4, -0.38
22, 1, 20, 5, 4, -0.32
23, 1, 20, 5, 4, -0.32
24, 1, 20, 5, 4, -0.3
25, 1, 20, 5, 4, -0.38
26, 1, 20, 5, 4, -0.3
27, 1, 20, 5, 4, -0.38
28, 1, 20, 5, 4, -0.39
29, 1, 20, 5, 4, -0.35
30, 1, 20, 5, 4, -0.39
31, 1, 20, 5, 4, -0.32
32, 1, 20, 5, 4, -0.34
33, 1, 20, 5, 4, -0.38
34, 1, 20, 5, 4, -0.3
35, 1, 20, 5, 4, -0.3
36, 1, 20, 5, 4, -0.36
37, 1, 20, 5, 4, -0.33
38, 1, 20, 5, 4, -0.31
39, 1, 20, 5, 4, -0.39
40, 1, 20, 5, 4, -0.36
1, 1, 20, 5, 4, -0.087
2, 1, 20, 5, 4, -0.086
3, 1, 20, 5, 4, -0.085
4, 1, 20, 5, 4, -0.083
5, 1, 20, 5, 4, -0.087
6, 1, 20, 5, 4, -0.086
7, 1, 20, 5, 4, -0.086
8, 1, 20, 5, 4, -0.082
9, 1, 20, 5, 4, -0.086
10, 1, 20, 5, 4, -0.081
11, 1, 20, 5, 4, -0.087
12, 1, 20, 5, 4, -0.089
13, 1, 20, 5, 4, -0.087
14, 1, 20, 5, 4, -0.091
15, 1, 20, 5, 4, -0.083
16, 1, 20, 5, 4, -0.083
17, 1, 20, 5, 4, -0.084
18, 1, 20, 5, 4, -0.089
19, 1, 20, 5, 4, -0.088
20, 1, 20, 5, 4, -0.089
21, 1, 20, 5, 4, -0.09
22, 1, 20, 5, 4, -0.084
23, 1, 20, 5, 4, -0.085
24, 1, 20, 5, 4, -0.088
25, 1, 20, 5, 4, -0.084
26, 1, 20, 5, 4, -0.087
27, 1, 20, 5, 4, -0.087
28, 1, 20, 5, 4, -0.088
29, 1, 20, 5, 4, -0.084
31, 1, 20, 5, 4, -0.09
32, 1, 20, 5, 4, -0.085
33, 1, 20, 5, 4, -0.088
34, 1, 20, 5, 4, -0.084
35, 1, 20, 5, 4, -0.083
36, 1, 20, 5, 4, -0.083
37, 1, 20, 5, 4, -0.087
38, 1, 20, 5, 4, -0.091
39, 1, 20, 5, 4, -0.089
40, 1, 20, 5, 4, -0.083
